ID,No,Rarity,Dev. Rate,Level,Name,Damage,Accuracy,Evasion,Armor,Crit.Damage,Talent,Skill,Locked
178841,3,★★★,600,40,Armor Fairy,9.6,0.0,0.0,10.8,0,Damage I,1,Locked
693963,2,★★★,700,26,Fury Fairy,4.5,0.0,13.0,3.5,0,Aim,2,Locked
704156,1007,★★★★,350,40,Anna Graem,10.8,13.8,28.8,3.6,0,Critical II,4,Locked
709401,16,★★★,500,42,Rescue Fairy,15.0,37.8,30.0,0.0,0,Assault,8,Locked
714127,24,★★★,700,24,Barrier Fairy,0.0,22.5,10.0,7.0,0,Charge,1,Locked
714173,14,★,0,1,Construction Fairy,3.6,12.0,9.6,2.4,0,Damage I,1,Locked
715861,9,★★★,1400,71,Airstrike Fairy,15.0,24.6,19.8,5.4,0,Suppression,6,Locked
719260,11,★★★★★,3000,100,Parachute Fairy,36.0,0.0,32.0,8.0,0,Critical II,10,Locked
733466,25,★★★,600,40,Twin Fairies,7.2,24.6,19.2,5.4,0,Damage II,6,Locked
1273662,8,★★★,550,40,Artillery Fairy,23.4,0.0,24.0,3.0,0,Damage I,1,Locked
1281514,1,★★★,950,50,Warrior Fairy,10.8,36.0,18.0,4.8,0,Damage II,3,Locked
1284754,6,★★★★,1550,46,Taunt Fairy,7.8,24.0,12.0,3.6,0,Damage II,10,Locked
1284756,4,★★★,550,40,Shield Fairy,8.4,25.2,33.6,0.0,0,Fervor,1,Locked
1285917,12,★,0,1,Landmine Fairy,5.6,10.0,19.6,0.0,0,Fervor,1,Locked
1295722,7,★★★,1400,41,Sniper Fairy,0.0,37.2,12.0,6.6,0,Critical II,10,Locked
1321128,13,★,0,1,Rocket Fairy,0.0,10.0,0.0,5.2,0,Accuracy I,1,Locked
1322048,11,★★,130,36,Parachute Fairy,11.0,0.0,10.0,2.5,0,Critical II,3,Locked
1329413,7,★,0,1,Sniper Fairy,0.0,17.6,5.6,3.2,0,Fervor,1,Locked
1330948,15,★,0,1,Command Fairy,8.0,0.0,7.6,2.0,0,Armor I,1,
1331983,24,★,0,1,Barrier Fairy,0.0,14.8,6.4,4.4,0,Keen,1,
1331986,17,★,0,1,Illumination Fairy,0.0,20.0,7.2,1.6,0,Accuracy I,1,
1332048,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0,Critical I,1,
1332314,15,★,0,1,Command Fairy,8.0,0.0,7.6,2.0,0,Evasion I,1,
1332315,16,★,0,1,Rescue Fairy,7.6,20.0,16.0,0.0,0,Evasion I,1,
1332316,16,★,0,1,Rescue Fairy,7.6,20.0,16.0,0.0,0,Sturdy,1,
1332424,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0,Damage I,1,
1332557,3,★,0,1,Armor Fairy,4.4,0.0,0.0,5.2,0,Evasion II,1,
1332602,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,0,Armor II,1,
1332791,15,★,0,1,Command Fairy,8.0,0.0,7.6,2.0,0,Assault,1,
1332792,2,★,0,1,Fury Fairy,2.8,0.0,8.0,2.0,0,Accuracy I,1,
1332948,15,★,0,1,Command Fairy,8.0,0.0,7.6,2.0,0,Critical I,1,
1333024,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0,Aim,1,
1333025,4,★,0,1,Shield Fairy,4.0,12.0,16.0,0.0,0,Charge,1,
1333026,1,★,0,1,Warrior Fairy,4.8,16.0,8.0,2.0,0,Suppression,1,
1333038,1,★,0,1,Warrior Fairy,4.8,16.0,8.0,2.0,0,Critical I,1,
1333113,16,★,0,1,Rescue Fairy,7.6,20.0,16.0,0.0,0,Evasion I,1,
178598,15,★★★★,1520,97,Command Fairy,28.0,0.0,25.6,6.4,0,Damage II,5,Locked
719261,17,★★★,750,20,Illumination Fairy,0.0,29.0,10.5,2.5,0,Keen,3,Locked
