Datetime,Category,Tier,Recipe,Type,Production ID,Name,Rank,Talent
2024-05-28 16:06:01,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,★,Evasion II
2024-05-28 16:35:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,★,Sturdy
2024-05-28 17:25:48,GUN,NORMAL,400/400/100/200,SMG,25,MP40,★★,
2024-05-28 17:25:48,GUN,NORMAL,400/400/100/200,SMG,33,m45,★★,
2024-05-28 17:25:48,GUN,NORMAL,400/400/100/200,SMG,21,PPSh-41,★★,
2024-05-28 17:42:12,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,★,Critical I
2024-05-28 20:23:03,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Armor II
2024-05-28 20:43:27,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,★,Armor II
2024-05-28 21:31:07,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★,Critical I
2024-05-28 23:58:33,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★,Keen
2024-05-29 10:28:17,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★,
2024-05-29 10:28:17,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-05-29 10:28:21,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★,
2024-05-29 10:28:30,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,★,Sturdy
2024-05-29 10:28:33,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Sturdy
2024-05-29 10:28:35,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★,Fervor
2024-05-29 10:38:36,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★,
2024-05-29 14:59:11,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,★,Sturdy
2024-05-29 14:59:13,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Charge
2024-05-29 15:50:44,EQUIP,NORMAL,70/10/150/30,OPTICAL,2,LRA 2-12x50,★★★,
2024-05-29 15:50:44,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-05-29 15:50:47,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★,
2024-05-29 17:36:58,GUN,NORMAL,400/400/100/200,SMG,92,Spectre M4,★★,
2024-05-29 17:36:58,GUN,NORMAL,400/400/100/200,SMG,31,M38,★★,
2024-05-29 17:36:58,GUN,NORMAL,400/400/100/200,SMG,94,Type64,★★,
2024-05-29 18:29:50,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★,Critical I
2024-05-29 19:08:03,GUN,NORMAL,100/400/400/200,AR,133,Type63,★★,
2024-05-29 19:08:03,GUN,NORMAL,100/400/400/200,SMG,26,Gr MP5,★★★★,
2024-05-29 19:08:03,GUN,NORMAL,100/400/400/200,AR,63,Gr G3,★★,
2024-05-29 19:08:37,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Critical I
2024-05-29 20:02:16,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,★,Charge
2024-05-29 23:21:17,EQUIP,HEAVY-1,500/500/500/500,FAIRY,16,Rescue Fairy,★,Damage II
2024-05-29 23:28:32,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,★,Accuracy I
2024-05-30 00:04:09,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,★,Damage I
2024-05-30 03:03:16,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,★,Damage II
2024-05-30 13:32:48,EQUIP,HEAVY-1,500/500/500/500,FAIRY,2,Fury Fairy,★,Critical II
2024-05-30 13:32:51,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★,Critical I
2024-05-30 13:32:53,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Aim
2024-05-30 13:44:37,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,15,PEQ-15,★★★★,
2024-05-30 13:44:40,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-05-30 13:44:42,EQUIP,NORMAL,70/10/150/30,REDDOT,10,AMP COMPM4,★★★,
2024-05-30 14:02:59,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-05-30 16:14:49,GUN,NORMAL,400/400/100/200,AR,68,L85A1,★★,
2024-05-30 16:14:52,GUN,NORMAL,400/400/100/200,AR,338,SIG MCX,★★★★★,
2024-05-30 16:14:54,GUN,NORMAL,400/400/100/200,AR,61,StG44,★★★,
2024-05-30 16:49:26,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★,Assault
2024-05-30 16:49:39,GUN,NORMAL,400/400/100/200,SMG,17,M3,★★,
2024-05-30 16:50:56,GUN,HEAVY-2,8000/1000/8000/4000,SG,154,M500,★★★,
2024-05-30 17:03:47,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Fervor
2024-05-30 18:13:15,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★,Charge
2024-05-30 18:45:10,GUN,NORMAL,400/400/100/200,SMG,103,UMP45,★★★★,
2024-05-30 19:05:34,GUN,NORMAL,400/400/100/200,SMG,18,Ingram,★★★,
2024-05-30 20:48:46,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Fervor
2024-05-30 21:39:20,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★,Suppression
2024-05-30 21:39:24,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,★,Damage I
2024-05-31 04:58:59,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Evasion I
2024-05-31 04:58:59,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★,Accuracy I
2024-05-31 04:58:59,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Assault
2024-05-31 05:01:51,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★,
2024-05-31 05:01:51,GUN,NORMAL,130/130/130/30,HG,11,P08,★★★,
2024-05-31 05:01:51,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★,
2024-05-31 05:32:31,GUN,NORMAL,130/130/130/30,HG,10,PPK,★★,
2024-05-31 05:32:31,GUN,NORMAL,130/130/130/30,HG,141,Gr USPCompact,★★,
2024-05-31 05:32:31,GUN,NORMAL,130/130/130/30,HG,9,P38,★★,
2024-05-31 14:07:12,GUN,NORMAL,130/130/130/30,HG,12,C96,★★★,
2024-05-31 14:07:14,GUN,NORMAL,130/130/130/30,HG,9,P38,★★,
2024-05-31 14:08:23,EQUIP,HEAVY-1,500/500/500/500,FAIRY,25,Twin Fairies,★,Sturdy
2024-05-31 14:08:25,EQUIP,HEAVY-1,500/500/500/500,FAIRY,16,Rescue Fairy,★,Accuracy I
2024-05-31 14:08:28,EQUIP,HEAVY-1,500/500/500/500,FAIRY,1,Warrior Fairy,★,Accuracy II
2024-05-31 18:55:02,EQUIP,HEAVY-1,500/500/500/500,FAIRY,4,Shield Fairy,★,Aim
2024-05-31 18:55:04,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Suppression
2024-05-31 19:24:09,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Armor II
2024-06-01 01:02:11,GUN,NORMAL,130/130/130/30,SMG,27,Skorpion,★★★,
2024-06-01 01:02:11,GUN,NORMAL,130/130/130/30,HG,13,Type92,★★★,
2024-06-01 01:02:11,GUN,NORMAL,130/130/130/30,SMG,92,Spectre M4,★★,
2024-06-01 01:27:24,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★,Damage I
2024-06-01 01:27:24,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,★,Armor I
2024-06-01 01:27:24,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Keen
2024-06-01 13:41:00,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-06-01 13:41:03,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-06-01 13:41:05,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,15,PEQ-15,★★★★,
2024-06-01 13:50:37,EQUIP,NORMAL,70/10/150/30,CLOAK,88,Camouflage Cape,★★★,
2024-06-01 13:51:21,GUN,NORMAL,130/130/130/30,HG,6,Tokarev,★★★,
