Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2024-05-28 15:02:44,128,Old Friend,631,SMG,MP40,2,0,,,
2024-05-28 15:03:16,128,Old Friend,631,HG,P08,3,1,,,
2024-05-28 15:03:43,128,Old Friend,631,SMG,m45,2,0,,,
2024-05-28 15:04:14,128,Old Friend,631,RF,G43,2,0,,,
2024-05-28 15:04:31,128,Old Friend,631,MG,M60,4,3,,,
2024-05-28 15:34:45,128,Old Friend,632,MG,Bren,3,1,,,
2024-05-28 15:35:13,128,Old Friend,632,AR,L85A1,2,0,,,
2024-05-28 15:36:04,128,Old Friend,632,RF,SVT-38,2,0,,,
2024-05-28 15:36:34,128,Old Friend,632,RF,SVT-38,2,0,,,
2024-05-28 15:36:50,128,Old Friend,632,SMG,m45,2,0,,,
2024-05-28 15:42:16,128,Old Friend,633,HG,MP-446,2,0,,,
2024-05-28 15:42:41,128,Old Friend,633,SMG,m45,2,0,,,
2024-05-28 15:43:33,128,Old Friend,633,RF,G43,2,0,,,
2024-05-28 15:44:04,128,Old Friend,633,RF,VM59,2,0,,,
2024-05-28 15:44:20,128,Old Friend,633,RF,VM59,2,0,,,
2024-05-28 15:49:30,128,Old Friend,634,HG,PPK,2,0,,,
2024-05-28 15:49:58,128,Old Friend,634,RF,SVT-38,2,0,,,
2024-05-28 15:50:52,128,Old Friend,634,MG,FG42,2,0,,,
2024-05-28 15:51:21,128,Old Friend,634,HG,Gr USPCompact,2,0,,,
2024-05-28 15:51:39,128,Old Friend,634,AR,Type63,2,0,,,
2024-05-28 15:54:04,128,Old Friend,635,HG,PPK,2,0,,,
2024-05-28 15:54:33,128,Old Friend,635,SMG,IDW,2,0,,,
2024-05-28 15:55:02,128,Old Friend,635,AR,SIG-510,2,0,,,
2024-05-28 15:55:35,128,Old Friend,635,RF,VM59,2,0,,,
2024-05-28 15:56:07,128,Old Friend,635,MG,DP28,2,0,,,
2024-05-28 15:56:25,128,Old Friend,635,AR,Type63,2,0,,,
2024-05-28 17:06:09,11518,Ceaseless Mockery EX,98,SMG,PP-2000,2,0,,,
2024-05-28 17:06:46,11518,Ceaseless Mockery EX,98,RF,SKS,2,0,,,
2024-05-28 17:07:20,11518,Ceaseless Mockery EX,98,SMG,Type64,2,0,,,
2024-05-28 17:07:54,11518,Ceaseless Mockery EX,98,MG,MG34,2,0,,,
2024-05-28 17:07:54,11518,Ceaseless Mockery EX,98,RF,SKS,2,0,,,
2024-05-28 17:09:41,11518,Ceaseless Mockery EX,99,HG,FF FNP9,2,0,,,
2024-05-28 17:10:16,11518,Ceaseless Mockery EX,99,MG,AAT-52,2,0,,,
2024-05-28 17:10:52,11518,Ceaseless Mockery EX,99,HG,Bren Ten,2,0,,,
2024-05-28 17:11:30,11518,Ceaseless Mockery EX,99,HG,P38,2,0,,,
2024-05-28 17:11:30,11518,Ceaseless Mockery EX,99,SMG,M38,2,0,,,
2024-05-28 17:12:53,11518,Ceaseless Mockery EX,100,RF,SKS,2,0,,,
2024-05-28 17:13:31,11518,Ceaseless Mockery EX,100,SMG,Type64,2,0,,,
2024-05-28 17:14:06,11518,Ceaseless Mockery EX,100,SMG,PP-2000,2,0,,,
2024-05-28 17:14:43,11518,Ceaseless Mockery EX,100,MG,MG34,2,0,,,
2024-05-28 17:14:43,11518,Ceaseless Mockery EX,100,HG,Bren Ten,2,0,,,
2024-05-28 17:29:26,128,Old Friend,636,RF,SVT-38,2,0,,,
2024-05-28 17:29:54,128,Old Friend,636,HG,M1895,2,0,,,
2024-05-28 17:30:46,128,Old Friend,636,HG,M1895,2,0,,,
2024-05-28 17:31:15,128,Old Friend,636,AR,Type63,2,0,,,
2024-05-28 17:31:31,128,Old Friend,636,SMG,Type64,2,0,,,
2024-05-28 17:32:57,128,Old Friend,637,SMG,IDW,2,0,,,
2024-05-28 17:33:24,128,Old Friend,637,SMG,PPSh-41,2,0,,,
2024-05-28 17:33:53,128,Old Friend,637,SMG,m45,2,0,,,
2024-05-28 17:34:21,128,Old Friend,637,RF,G43,2,0,,,
2024-05-28 17:34:52,128,Old Friend,637,HG,Gr USPCompact,2,0,,,
2024-05-28 17:35:08,128,Old Friend,637,HG,PPK,2,0,,,
2024-05-28 17:36:50,128,Old Friend,638,AR,L85A1,2,0,,,
2024-05-28 17:37:17,128,Old Friend,638,RF,SVT-38,2,0,,,
2024-05-28 17:37:45,128,Old Friend,638,SMG,m45,2,0,,,
2024-05-28 17:38:13,128,Old Friend,638,SMG,IDW,2,0,,,
